PROP_FOCAL_OPT_CHOSEN,CONDITION,PRECHOICE_SPREAD,POSTCHOICE_SPREAD
1,-1,-2,-0.6
0.6,1,-1.6,-1.1
0.5,-1,-0.9,-1.9
0.6,-1,-0.6,-2.6
0.7,1,0.7,-0.5
0.5,-1,-2,-2.1
0.5,-1,-1.6,-1.7
0.3,1,2.1,1.6
0.7,1,-0.8,-0.7
0.1,1,-2.9,-3.6
0.6,1,1.9,2.2
0.6,1,-0.1,-1
0.7,-1,-2.3,-1.3
0.8,-1,-1.2,-0.7
0.7,1,0,0
